date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:26	478/478	---M-Z	200	added ('OK')	application/javascript	etag:W/%22678ae3ce-1de%22	https://hmpl-lang.dev/assets/404.html-BXz2TmDJ.js	C:/copy/copy/hmpl-lang.dev/assets/404.html-BXz2TmDJ.js	(from https://hmpl-lang.dev/)
12:06:26	510/510	---M-Z	200	added ('OK')	application/javascript	etag:W/%22678ae3ce-1fe%22	https://hmpl-lang.dev/assets/index.html-DR7SulSu.js	C:/copy/copy/hmpl-lang.dev/assets/index.html-DR7SulSu.js	(from https://hmpl-lang.dev/)
12:06:27	60453/60453	---M-Z	200	added ('OK')	application/javascript	etag:W/%22678ae3ce-ec25%22	https://hmpl-lang.dev/assets/photoswipe.esm-GXRgw7eJ.js	C:/copy/copy/hmpl-lang.dev/assets/photoswipe.esm-GXRgw7eJ.js	(from https://hmpl-lang.dev/)
12:06:27	939/939	---M-Z	200	added ('OK')	application/javascript	etag:W/%22678ae3ce-3ab%22	https://hmpl-lang.dev/assets/setupDevtools-7MC2TMWH-bPHFmTlK.js	C:/copy/copy/hmpl-lang.dev/assets/setupDevtools-7MC2TMWH-bPHFmTlK.js	(from https://hmpl-lang.dev/)
12:06:27	1474/1474	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22678ae3ce-5c2%22	https://hmpl-lang.dev/images/logo.svg	C:/copy/copy/hmpl-lang.dev/images/logo.svg	(from https://hmpl-lang.dev/)
12:06:27	33507/33507	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-82e3%22	https://hmpl-lang.dev/introduction.html	C:/copy/copy/hmpl-lang.dev/introduction.html	(from https://hmpl-lang.dev/)
12:06:28	40489/40489	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-9e29%22	https://hmpl-lang.dev/examples.html	C:/copy/copy/hmpl-lang.dev/examples.html	(from https://hmpl-lang.dev/)
12:06:28	21107/21107	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-5273%22	https://hmpl-lang.dev/why-hmpl.html	C:/copy/copy/hmpl-lang.dev/why-hmpl.html	(from https://hmpl-lang.dev/)
12:06:28	5045/5045	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22678ae3ce-13b5%22	https://hmpl-lang.dev/images/logo_new.svg	C:/copy/copy/hmpl-lang.dev/images/logo_new.svg	(from https://hmpl-lang.dev/)
12:06:28	21744/21744	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-54f0%22	https://hmpl-lang.dev/getting-started.html	C:/copy/copy/hmpl-lang.dev/getting-started.html	(from https://hmpl-lang.dev/)
